Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-10 11:03:25,2019-10-10 11:03:28,2.446s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/login.jsf"")",Chrome 77.0.3865.90,,2019-10-10 11:03:28,2019-10-10 11:03:30,2.349s,PASSED
maximizeWindow(),Chrome 77.0.3865.90,,2019-10-10 11:03:30,2019-10-10 11:03:31,1.161s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_/input__username""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(9, 1))",Chrome 77.0.3865.90,,2019-10-10 11:03:31,2019-10-10 11:03:32,0.287s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_/input__password""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(10, 1))",Chrome 77.0.3865.90,,2019-10-10 11:03:32,2019-10-10 11:03:32,0.220s,PASSED
"click(findTestObject(""Object Repository/Login/Page_/span_""))",Chrome 77.0.3865.90,,2019-10-10 11:03:32,2019-10-10 11:03:35,3.283s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenReviewTheCreationModificationofTheBankAccountForBakeryMethod,Chrome 77.0.3865.90,,2019-10-10 11:03:35,2019-10-10 11:03:37,2.005s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/commodityAuth/EditBakeryAccountAudit.jsf"")",Chrome 77.0.3865.90,,2019-10-10 11:03:35,2019-10-10 11:03:37,1.673s,PASSED
,,,,,,
Test Cases/Reusable/Assertion/ReviewBankAccountCreationByCommunityEmployeeAssertionMethod,Chrome 77.0.3865.90,,2019-10-10 11:03:37,2019-10-10 11:03:38,0.791s,FAILED
SplitArrResult = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.001s,PASSED
FileData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.001s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.000s,PASSED
today = new java.util.Date(),Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.024s,PASSED
"click(findTestObject(""DynamicWebTables/DynamicWebRow""))",Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.150s,PASSED
"RowValue = getText(findTestObject(""DynamicWebTables/DynamicWebRow""))",Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.070s,PASSED
println(RowValue),Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.001s,PASSED
"SplitArrResult = RowValue.split("" "")",Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.004s,PASSED
println(SplitArrResult),Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.001s,PASSED
ActualReqCode = SplitArrResult[0],Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.001s,PASSED
println(ActualReqCode),Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.001s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ReqCode.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.000s,PASSED
"FileData = toString().replaceAll(""\p{P}"", """")",Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.001s,PASSED
assert ActualReqCode.contains(FileData),Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.000s,PASSED
ActualCreationDate = SplitArrResult[1],Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.001s,PASSED
println(ActualCreationDate),Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.001s,PASSED
"assert ActualCreationDate == today.format(""dd/MM/yyyy"")",Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.004s,PASSED
ActualbakeryName = SplitArrResult[2],Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.000s,PASSED
println(ActualbakeryName),Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.001s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\AccName.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.001s,PASSED
